id,long_start,lat_start,long_end,lat_end,length
1,103.9460064,30.75066046,30.7450801,1179.207157,103.9564943
2,103.9460064,30.75066046,30.75449343,620.9053755,103.9412759
3,103.9460064,30.75066046,30.75675243,921.0410139,103.9525507
4,104.0625393,30.7390774,30.73250066,730.2875808,104.0620712
5,104.0625393,30.7390774,30.74269338,467.5522935,104.0600238
6,104.0732399,30.76099259,30.74887448,1343.253385,104.0730086
7,104.0732399,30.76099259,30.76141245,2157.007237,104.0507089
8,104.0732399,30.76099259,30.76027681,3962.074577,104.1146272
9,104.0732399,30.76099259,30.78668402,2847.913944,104.0737873
10,104.1508278,30.73841386,30.7231598,2662.134322,104.129349
11,104.1508278,30.73841386,30.72511547,1538.935186,104.1462028
12,104.1508278,30.73841386,30.73807002,768.4620807,104.1588451
13,104.1508278,30.73841386,30.77433248,4181.143453,104.1374701
14,103.9812278,30.70951601,30.7055703,443.815225,103.9804376
15,103.9812278,30.70951601,30.71025208,121.2443022,103.9802912
16,104.0439712,30.6867731,30.68572405,124.7648613,104.0444437
17,104.0439712,30.6867731,30.68723173,121.1557126,104.0428231
18,104.1012878,30.71733224,30.71605867,150.5741881,104.1007402
19,104.1012878,30.71733224,30.7188824,180.6695447,104.1018715
20,104.1642292,30.69574474,30.69530501,524.5509497,104.158776
21,104.1642292,30.69574474,30.69122648,501.773329,104.1645632
22,104.1642292,30.69574474,30.69594523,521.0576293,104.1696646
23,104.1642292,30.69574474,30.70182076,674.1569701,104.1638951
24,103.9777074,30.66252283,30.66252693,262.0547376,103.9749723
25,103.9777074,30.66252283,30.6589357,397.8707718,103.9778687
26,103.9777074,30.66252283,30.66449919,219.1141492,103.9776502
27,104.0404044,30.6386652,30.63682457,231.7111229,104.0392578
28,104.0404044,30.6386652,30.63977679,142.7229606,104.0411563
29,104.0404044,30.6386652,30.63995675,295.7785775,104.0377035
30,104.1181679,30.65058201,30.65030184,393.3975505,104.1140751
31,104.1181679,30.65058201,30.65013097,314.7466556,104.1214109
32,104.1181679,30.65058201,30.65328507,301.3254122,104.1178297
33,104.1472874,30.64296083,30.64059106,278.1529173,104.1463315
34,104.1472874,30.64296083,30.64216205,239.1655126,104.1496059
35,103.9826185,30.61386248,30.61166959,531.5645307,103.9776869
36,103.9826185,30.61386248,30.60279961,1229.628076,103.9816494
37,103.9826185,30.61386248,30.61499377,272.1300849,103.9851381
38,104.0612402,30.59666547,30.59376339,321.9945508,104.0613987
39,104.0612402,30.59666547,30.59668669,320.8957553,104.0578933
40,104.0612402,30.59666547,30.60054761,430.2623322,104.0612128
