ID,Long_start,Lat_start,Long_end,Lat_end,Length,Speed
29,104.0404044,30.6386652,30.63995675,295.7785775,104.0377035,25.87916667
30,104.1181679,30.65058201,30.65030184,393.3975505,104.1140751,22.65
31,104.1181679,30.65058201,30.65013097,314.7466556,104.1214109,33.47142857
32,104.1181679,30.65058201,30.65328507,301.3254122,104.1178297,26.85
33,104.1472874,30.64296083,30.64059106,278.1529173,104.1463315,40.83333333
34,104.1472874,30.64296083,30.64216205,239.1655126,104.1496059,16.5
35,103.9826185,30.61386248,30.61166959,531.5645307,103.9776869,34.55454545
36,103.9826185,30.61386248,30.60279961,1229.628076,103.9816494,31.54583333
37,103.9826185,30.61386248,30.61499377,272.1300849,103.9851381,31.38977273
38,104.0612402,30.59666547,30.59376339,321.9945508,104.0613987,31.525
39,104.0612402,30.59666547,30.59668669,320.8957553,104.0578933,34.55
40,104.0612402,30.59666547,30.60054761,430.2623322,104.0612128,39.45
41,104.1323295,30.59740351,30.59511501,436.5838356,104.1360359,46.63333333
42,104.1323295,30.59740351,30.60123549,518.9610531,104.1354405,46.075
43,104.1323295,30.59740351,30.60216894,906.1380717,104.1246492,44.5875
44,104.149224,30.61054808,30.60674406,503.3719165,104.1463549,21.75
45,104.149224,30.61054808,30.6089618,370.0824554,104.1526212,54.55
46,104.149224,30.61054808,30.61375537,1119.4482,104.1381502,55.325
47,103.9525507,30.75675243,30.75254195,964.822029,103.9613727,42.78
48,103.9525507,30.75675243,30.76609451,1371.854501,103.9619529,42.78
49,104.0530243,30.75790039,30.7539247,643.6417399,104.0481228,53.425
50,104.0530243,30.75790039,30.74499537,1933.671041,104.0666187,35.7
51,104.0530243,30.75790039,30.76141245,447.9160573,104.0507089,35.86666667
52,104.0730086,30.74887448,30.74499537,747.6592605,104.0666187,52.73333333
53,104.0730086,30.74887448,30.72578859,2558.887309,104.0726375,47.7
54,104.1588451,30.73807002,30.72511547,1877.861688,104.1462028,54.8775
55,104.1588451,30.73807002,30.72308424,1672.884115,104.1609358,40.53333333
56,104.1588451,30.73807002,30.75834783,2397.625728,104.1675722,46.805
57,103.9717958,30.70900484,30.69767357,1304.912095,103.9754957,36.675
58,103.9717958,30.70900484,30.71243403,792.6168708,103.979059,33.45
59,103.9717958,30.70900484,30.71641552,941.1702069,103.966997,32.9
60,104.040111,30.71551717,30.71284378,297.9644774,104.0404398,23.4
61,104.040111,30.71551717,30.71599628,491.0600093,104.045209,27.03214286
62,104.0773952,30.69705062,30.69705339,297.4541047,104.0742895,48.52916667
63,104.0773952,30.69705062,30.69703746,126.4330825,104.0787152,36.07142857
64,104.0773952,30.69705062,30.70282784,640.3378561,104.0773157,48.9
65,104.1847307,30.69654394,30.69224823,477.2751353,104.184379,37.975
66,104.1847307,30.69654394,30.69629187,744.8007551,104.1769595,35.925
67,104.1847307,30.69654394,30.70246353,662.8173793,104.1857165,40.55
68,103.963491,30.66467205,30.65991764,534.7262649,103.9625424,34.26666667
69,103.963491,30.66467205,30.66471229,1087.243613,103.9748388,14.66666667
70,104.0120406,30.64390586,30.64330149,344.9470654,104.0085096,26.01111111
71,104.0120406,30.64390586,30.64204591,257.6165547,104.0136529,48.05
72,104.0120406,30.64390586,30.64454912,233.7971718,104.0143642,25.55277778
73,104.0120406,30.64390586,30.64760226,414.1344437,104.0114083,21.01428571
74,104.0860338,30.64221009,30.64157585,120.2890328,104.0850152,20.82
75,104.0860338,30.64221009,30.64181519,55.09816775,104.0863831,39.05
76,104.0860338,30.64221009,30.64258043,47.47870099,104.0857848,20.82
