id,speed,road_segment_id
1,31.76904762,1
2,49.45,2
3,42.78,3
4,35.15,4
5,25.95,5
6,32.53333333,6
7,55.7,7
8,39.2,8
9,66.0125,9
10,62.95,10
11,30.66,11
12,46.805,12
13,46.805,13
14,20.95,14
15,18.76,15
16,54.0,16
17,30.7125,17
18,31.5,18
19,41.0,19
20,21.92,20
21,31.11666667,21
22,39.925,22
23,30.4,23
24,36.56666667,24
25,29.95833333,25
26,36.56666667,26
27,28.625,27
28,31.2,28
29,25.87916667,29
30,22.65,30
31,33.47142857,31
32,26.85,32
33,40.83333333,33
34,16.5,34
35,34.55454545,35
36,31.54583333,36
37,31.38977273,37
38,31.525,38
39,34.55,39
40,39.45,40
41,46.63333333,41
42,46.075,42
43,44.5875,43
44,21.75,44
45,54.55,45
46,55.325,46
47,42.78,47
48,42.78,48
49,53.425,49
50,35.7,50
51,35.86666667,51
52,52.73333333,52
53,47.7,53
54,54.8775,54
55,40.53333333,55
56,46.805,56
57,36.675,57
58,33.45,58
59,32.9,59
60,23.4,60
61,27.03214286,61
62,48.52916667,62
63,36.07142857,63
64,48.9,64
65,37.975,65
66,35.925,66
67,40.55,67
68,34.26666667,68
69,14.66666667,69
70,26.01111111,70
71,48.05,71
72,25.55277778,72
73,21.01428571,73
74,20.82,74
75,39.05,75
76,20.82,76
77,34.0,77
78,29.25,78
79,15.95,79
80,27.7,80
81,36.75,81
82,30.75,82
83,45.55,83
84,44.5,84
85,49.75,85
86,30.74285714,86
87,73.5125,87
88,36.23928571,88
89,27.515,89
90,31.87714286,90
91,34.54583333,91
92,35.575,92
93,21.75,93
94,42.92,94
95,74.6125,95
96,74.435,96
97,58.45,97
98,54.43333333,98
99,47.3,99
100,61.56666667,100
101,38.26,101
102,42.2,102
103,40.23107143,103
104,46.805,104
105,32.2,105
106,38.89,106
107,51.5,107
108,39.65,108
109,24.125,109
110,26.625,110
111,34.95,111
112,11.03333333,112
113,57.43333333,113
114,30.7,114
115,36.1,115
116,33.4,116
117,10.5,117
118,46.6,118
119,25.55,119
120,36.05,120
121,32.82916667,121
122,31.22708333,122
123,73.45,123
124,40.23333333,124
125,20.815,125
126,64.0,126
127,30.8,127
128,27.8,128
129,33.3,129
130,33.9,130
131,33.9,131
132,33.9,132
133,32.525,133
134,39.025,134
135,43.5,135
136,54.4,136
137,28.6375,137
138,14.1,138
139,55.0375,139
140,36.63333333,140
141,32.55,141
142,48.51666667,142
143,35.86666667,143
144,46.805,144
145,46.805,145
146,37.81111111,146
147,32.9,147
148,31.33333333,148
149,31.85,149
150,31.59166667,150
151,26.73333333,151
152,33.5,152
153,28.0,153
154,30.75,154
155,45.33333333,155
156,77.85,156
157,31.81395833,157
158,48.15,158
159,39.84583333,159
160,48.15,160
161,18.80416667,161
162,18.9,162
163,21.865,163
164,33.05,164
165,13.0625,165
166,47.23157895,166
167,85.55,167
168,63.65833333,168
169,85.55,169
170,75.5,170
171,31.4,171
172,27.78333333,172
173,29.59166667,173
174,12.43333333,174
175,27.946875,175
176,24.8,176
177,46.075,177
178,46.075,178
179,68.1425,179
180,44.21666667,180
181,66.0125,181
182,33.65714286,182
183,42.65230042,183
184,41.14333333,184
185,38.9875,185
186,38.9875,186
187,33.5,187
188,39.275,188
189,44.15,189
190,40.7,190
191,27.25,191
192,27.975,192
193,25.4,193
194,81.7,194
195,42.61666667,195
196,42.61666667,196
197,29.05,197
198,14.18333333,198
199,37.09333333,199
200,31.51,200
201,14.05833333,201
202,15.55,202
203,42.33333333,203
204,24.83333333,204
205,22.0,205
206,32.81875,206
207,28.9,207
208,30.8046875,208
209,58.88356643,209
210,30.10454545,210
211,58.88356643,211
212,100.0,212
213,39.3,213
214,21.95,214
215,69.6,215
216,38.58571429,216
217,45.39285714,217
218,34.8,218
219,33.18809524,219
220,39.325,220
221,45.64833333,221
222,47.3,222
223,47.7,223
224,47.3,224
225,28.61875,225
226,28.3625,226
227,19.36666667,227
228,26.71428571,228
229,23.04047619,229
230,26.71428571,230
231,27.8,231
232,23.0,232
233,30.13333333,233
234,44.875,234
235,37.295,235
236,28.45,236
237,38.6,237
238,20.625,238
239,25.6,239
240,23.1125,240
241,34.15,241
242,37.55,242
243,35.975,243
244,19.92,244
245,39.65,245
246,24.65,246
247,28.95,247
248,19.45833333,248
249,23.8,249
250,50.54,250
251,28.225,251
252,27.33333333,252
253,33.65,253
254,31.58666667,254
255,33.65,255
256,22.95,256
257,43.81845238,257
258,51.975,258
259,37.26428571,259
260,24.53333333,260
261,18.7625,261
262,23.14166667,262
263,22.72916667,263
264,38.9075,264
265,45.64833333,265
266,47.91354167,266
267,45.64833333,267
268,47.3,268
269,52.875,269
270,52.875,270
271,25.93333333,271
272,22.55,272
273,20.525,273
274,32.6,274
275,36.03333333,275
276,50.85,276
277,39.25,277
278,38.075,278
279,47.28571429,279
280,30.7,280
281,51.35,281
282,37.445,282
283,44.83,283
284,30.0,284
285,46.85,285
286,12.85,286
287,15.26666667,287
288,36.365,288
289,29.58333333,289
290,34.0375,290
291,27.7,291
292,50.75,292
293,40.82916667,293
294,24.575,294
295,38.9,295
296,66.58333333,296
297,42.6,297
298,46.42083333,298
299,13.65,299
300,15.4,300
301,36.63333333,301
302,31.6,302
303,33.62,303
304,61.85,304
305,59.4578125,305
306,51.6,306
307,47.7,307
308,55.50833333,308
309,54.075,309
310,72.65,310
311,72.65,311
312,50.01458333,312
313,43.4,313
314,9.8,314
315,41.4,315
316,28.05,316
317,26.5,317
318,32.925,318
319,31.5,319
320,38.6,320
321,41.56,321
